Hebrew,English,Pronunciation
מאוחר,late,meukhar
קודם,previous,kodem
העבודה,the work,ha'avoda
אחרת,otherwise,akheret
מגיע,coming,megi'a
להגיע,reach,lehagia
בה,in her,ba
מבינה,understand,mevina
ברור,clear,barur
עצמך,yourself,atsmekha
בהחלט,definitely,behekhlet
לאחר,after,le'akhar
כלומר,i.e,klomar
השני,the second,hasheni
יחד,together,yakhad
אוי,oh,oy
במשך,during,bemeshekh
לפחות,at least,lefakhot
לשמוע,hear,lishmo'a
אהיה,I will be,he'heye
מוזר,odd,muzar
ברגע,in an instant,berega
לעבוד,work,la'avod
אליי,to me,hela'i
וואו,wow,wa'o
אישה,a woman,isha
כעת,now,ka'et
אליך,to you,helaikh
העולם,the world,ha'olam
יופי,beauty,yofi
שלוש,three,shalosh
מהם,of them,mehem
הערב,tonight,ha'erev
אתמול,yesterday,etmol
הספר,the book,hasefer
ואם,and if,ve'im
הראשונה,the first,ha'rishona
אתן,you,eten
ספר,book,sefer
חדש,new,khadash
מושג,idea,musag
בוקר,morning,boker
שעות,hours,sha'ot
לבית,nee,la'bait
מזל,luck,mazal
להביא,bring,lehavi
בחוץ,outside,bakhutz
וואן,van,van
למטה,down,lemata
בשבילי,for me,bishvili
אלא,but,ela
חברים,friends,haverim
היכן,where,heikhan
למעלה,up,lema'ala
כ,about,ke
כולנו,all of us,kolanu
מקרה,case,mikre
ראית,you saw,ra'it
ביחד,together,beyakhad
שהיה,was,shehaya
עלינו,on us,aleinu
להישאר,stay,lehisha'er
ערב,evening,erev
כרגע,right now,karga
בני,my son,bni
בלילה,at night,balaila
תקשיב,listen,takshiv
אלו,these,elu
האחרון,the last,ha'akharon
קשר,link,kesher
באופן,in a way,be'ofen
ביום,in the day,bayum
בקשר,in connection,bekesher
אעשה,i will,a'ase
בת,daughter,bat
איתה,with her,ita
ימים,days,yamim
מקבל,receives,mekabel
ומה,and what,uma
בתוך,within,betokh
השם,the name,hashem
האיש,the man,ha'ish
תפסיק,stop,tafsik
לשאול,ask,lish'ol
והיא,And she is,vehi
הילד,the boy,ha'yeled
ועכשיו,and now,ve'akhshav
מדוע,why,madu'a
קח,take,kakh
יקרה,dear,yikre
סוג,type,sug
ממנו,from him,mimeno
עליה,rise,alei'ha
העיר,the city,ha'ir
העניין,the thing,ha'inyan
הפעם,this time,hapa'am
החבר,boyfriend,hakhaver
הבעיה,the problem,haba'aya
האחרונה,the last,ha'akhrona
שיהיה,so be it,shei'ye
היחיד,the only one,hayakhid
האלו,these,ha'elu
לפעמים,sometimes,lifamim
רעיון,idea,ra'ayon
כפי,as,kefi
חזרה,return,khazara
למען,address,lema'an
בעוד,while,be'od
עומד,standing,omed
שבו,sit down,shvu
אלי,to me,elai
בנאדם,man,benadam
טובים,are good,tovim
חרא,shit,khara
אליו,to him,elav
מיד,immediately,mi'yad
משחק,play,miskhak
צודק,right,tzodek
בפעם,time,bapa'am
הלו,hello,alo
להיכנס,enter,lehi'kanes
עצמי,myself,atzmi
בעולם,in the world,ba'olam
תורגם,translated,turgam
קטנה,small,ktana
תני,give,tni
בלתי,non,bilti
איזו,Which one,eizu
לאכול,eat,le'ekhol
לעזוב,leave,la'azov
תראו,look,tir'u
בפנים,in,bifnim
לשמור,reserve,lishmor
יהיו,will be,yi'yoo
גדולה,greatness,gdoola
לעצור,stop,la'atzor
שלושה,three,shlosha
קל,easy,kal
הילדים,the children,hayeladim
להשיג,achieve,lehasig
הדלת,the door,hadelet
הרגע,the moment,harega
אימא,mother,ima
להבין,understand,lehavin
בחדר,in the room,bekhader
חזק,strong,khazak
נורא,terrible,nora
הי,hey,hi
רבה,a lot,raba
הסיבה,the reason,hasiba
מחוץ,outside,mehutz
הבן,the son,haben
יכולתי,I could,yecholti
וגם,also,vegam
לכן,so,lekan
מתכוונת,mean,mitkavnet
אתכם,you,ethem
היחידה,the unit,hayehida
אמיתי,real,amiti
סתם,mere,stam
מרגישה,feeling,mergisha
האדם,the person,ha'adam
שאתם,that you are,she'atam
אומרים,they say,omrim
חוץ,outside,hutz
למות,die,lemot
רב,multi,rev
ראש,head,rosh
נו,Well,no
להתראות,goodbye,lehitra'ot
אדירים,mighty,adirim
קרוב,close,krov
שתי,warp,shti
מתה,dead,mata
גרוע,bad,grua
לוקח,taking,lokch
מכל,tank,mechel
נראית,look,nir'it
פנים,face,pnim
להשתמש,use,lehishtamesh
קוראים,are reading,kora'im
חברה,company,havra
ממה,from what,mema
הראש,the head,ha'rosh
מדהים,stunning,midhim
ילדה,girl,yalda
המשפחה,the family,hameshpacha
והם,and they are,vehem
מצחיק,funny,metzchik
חושבים,thinking,hoshvim
קיבלתי,I received,kibalti
מצאתי,I found,metzeti
נגד,against,nigd
לעבור,pass,le'evur
ליד,near,lid
שאין,there is no,sh'in
החברה,the company,hachavra
לקרוא,read,likro
לחיות,live,lechayot
מוכנה,ready,muchna
חמש,five,chamesh
עלייך,on you,alaich
א,A,a
חיי,my life,hay
פחות,less,pachot
באותו,in the same,be'uto
מפה,map,mefa
הבנתי,I understood,habanti
לנסות,try,lensot
ביי,bye,bei
ארוחת,a meal,aruchat
אבי,my father,avi
נגמר,finished,nigmer
שהייתי,I was,shehayati
בשם,fragrance,beshem
הבוקר,the morning,haboker
יוצא,outgoing,yeze
מדברים,talking,midbarim
לשחק,play,leshchak
אחרים,others,acharim
לפגוש,meet,lifgosh
דם,blood,dam
פעמים,times,pa'amim
לנצח,win,lentzch
תחת,under,tachat
חודשים,months,hodshim
הבאה,the next,haba'a
להתחיל,begin,lehitchil
ואנחנו,and we,vanachanu
הטוב,the best,hatov
לגרום,cause,ligrom
הא,Ha,ha
סיכוי,a chance,sikui
להמשיך,continue,lehameshich
לישון,sleep,lishon
שמעת,you heard,shmat
אהבה,love,ahava
שמישהו,someone,shmishehu
זונה,whore,zona
שעה,time,sh'a
נהיה,yearning,nehaya
מאשר,than,me'asher
הגדול,the big,hagdul
אותן,them,oten
חצי,half,hatzi
בקרוב,soon,bakrov
תגידי,tell me,tagidi
סיבה,reason,siva
ס,S,s
מחדש,re,mechadsh
לבדוק,check,livdok
נשים,women,nishim
חכי,wait,chachi
כשאני,when i,kshani
מאמינה,believe,maamina
מגניב,cool,meganiv
בבוקר,in the morning,beboker
שכל,mind,shkel
מדברת,talking,midbaret
לחכות,wait,lechachot
מתחיל,starting,mitchil
פרק,chapter,prak
לכך,for that,lakech
שאלה,question,she'ela
לקח,lesson,lekach
צוחק,laughing,tzuchak
בנוגע,regarding,benuga
לשים,put,leshim
מכירה,sale,mechira
נותן,giving,noten
אלך,I will go,elech
חי,live,chi
מעט,few,me'et
המכונית,the car,hamchonit
התכוונתי,I meant,hitkavanti
חדשות,news,hadshot
צוות,team,tzvot
משפחה,family,mishpacha
זקוק,in need,zkuk
מתחת,under,mitchat
להציל,save,lehitzil
גמור,finished,gmor
הזדמנות,opportunity,hizdamnut
מטורף,crazy,matoref
שונה,different,shona
כאלה,such,ke'ela
מעולה,excellent,meula
וכל,and all,vekal
ויש,and there is,vish
בתור,as a,betur
לפי,according to,lefi
ניסיתי,i tried,nisiti
סיפור,a story,sipur
בערך,about,ba'arech
מים,water,mim
לתוך,into,letuch
תסתכל,take a look,tistakel
דעתך,your opinion,da'atch
זוכרת,remember,zochret
יין,wine,yen
שאם,that if,sham
להרגיש,feel,lehargish
חוזר,circular,hozer
עזרה,help,ezra
רציני,serious,retzini
עונה,season,ona
שלומך,how are you,shlomch
אפשרי,possible,efshri
מחפש,looking for,mechafsh
הסיפור,the story,hasipur
חתיכת,a piece,chtichet
שכן,neighbor,shken
המפקד,the commander,hamafkad
מעל,above,me'el
הלך,wayfarer,halech
מלא,full,male
שאולי,maybe,she'uli
אנג,Eng,ang
בצורה,in a way,betzura
שומע,hears,shuma
נכנס,incoming,nichnes
להפסיק,stop,lehapsik
החדש,the new,hachadsh
שווה,worth,shva
עניין,interest,inyan
פנימה,inside,pnima
כיף,fun,kef
חדר,room,hader
חסר,short,haser
ורג,and Reg,verg
כמוך,like you,kmoch
ראשון,first,roshon
אסור,forbidden,asor
לקנות,buy,lekanot
מאד,very,me'ad
להתקשר,contact,lehitkasher
מייקל,Michael,makel
בהם,in them,behem
בעבר,in the past,be'ever
ראה,See,ra'a
להראות,show,lehir'ot
מצב,situation,metzav
ברצינות,seriously,birtzinot
נתראה,see you,nitra'a
נפלא,wonderful,nifla
מוקדם,early,mukdam
אינך,you are gone,inch
שתיים,two,shti'im
תדאג,take care,tidag
להגן,protect,lehagen
כלל,rule,klal
מאיתנו,from us,me'itnu
בחורה,girl,bechura
בנות,girls,benut
עבר,past,avar
במה,stage,bema
טעות,mistake,ta'ot
משם,from there,mishem
הטלפון,the phone,hatalfon
רצה,wanted,retza
שקרה,that happened,shkara
שזו,which is,shezu
להוציא,spend,lehutzi
כה,so,kah
עצמו,himself,atzmu
המצב,the situation,hamtzav
למרות,despite,lemarot
הקטן,the little one,haktan
עצור,Stop,atzur
מיליון,million,milyon
אקח,I will take,akach
מסוגל,able,mesugal
להאמין,believe,lehaamin
במקרה,by chance,bemikra
ידע,knowledge,yada
שבוע,week,shvua
איתנו,with us,itnu
נוסף,additional,nosef
חדשה,new,hadsha
רצח,murder,retzch
אמרו,said,amru
איני,i am not,ini
כוח,power,koch
גברתי,madam,gvarti
גורם,factor,goram
עליהם,on them,alehem
לעבודה,to work,le'avoda
מוכנים,are ready,muchnim
ידעת,you knew,yadat
מאחורי,behind me,meachori
ים,sea,yim
האישה,the woman,ha'isha
הכבוד,the honor,hakvod
מידע,information,mida
שאלות,questions,shalot
לכי,go,lechi
דין,law,din
בצד,aside,betzed
נעים,pleasant,ne'im
כשאתה,when you,kshe'ata
באתי,I came,beti
מפני,because,mefani
מבטיח,promising,mivtich
קשור,related,kashur
כשהוא,when he,kshehu
כדור,ball,kador
שאמרתי,i said,she'amarti
בחיי,in my life,bechay
שמחה,joy,shmaha
קורא,reader,kora
נתן,given,natan
מעבר,transition,ma'aver
תוכלי,you can,tochli
מס,tax,mes
חולה,patient,chula
שונא,hate,shona
לפה,here,lefa
המשטרה,the police,hameshtara
במיוחד,especially,bemiyuchad
ימי,maritime,yemi
שאוכל,that I can,she'uchel
קפטן,caftan,kaftan
מעניין,interesting,meanyan
יצא,came out,yetza
לאנשים,to people,lanshim
גברים,men,gabrim
אשר,which,asher
ניתן,given,nitan
בכך,thereby,bakech
ככל,As much as,kechel
בעיות,problems,be'iyot
מושלם,perfect,mushlam
על-ידי,by,al-yedi
בעלי,my husband,ba'ali
לשתות,drink,leshtot
אראה,I will see,er'a
בעל,husband,be'el
הלא,isn't it,hale
אגיד,I will say,agid
אוהבים,love,ohavim
לקרות,happen,likrot
שרה,Sara,shra
מין,sex,min
להכיר,recognize,lehakir
ארבע,four,arba
אלף,thousand,alf
להתמודד,to cope,lehitmoded
מניחה,assuming,maniha
למקום,to the place,lemekum
קפה,coffee,kfa
הבחורה,the girl,hivchura
אינו,is not,inu
מייק,Mike,meyk
יי,Yi,yey
ישר,straight,yesher
לשבת,sit,leshevet
לעצמי,to myself,le'atzmi
בראש,in the head,berosh
אידיוט,idiot,idiot
מחכה,waiting,mechka
תקשיבי,listen,tikshivi
נשאר,remaining,nishe'er
פיטר,Peter,piter
הבת,the daughter,habet
אלייך,to you,ali'ich
שניכם,both of you,shnehem
עובדת,working,ovdet
לשלם,pay,leshlam
מן,from,man
תוך,within,toch
לטפל,handle,litpel
לזוז,move,lezuz
המשחק,the game,hamischak
באה,came,ba'a
עשר,ten,asher
לדאוג,worry,lid'og
פרנק,franc,prank
שצריך,needed,shetzrich
אש,fire,ash
ללמוד,learn,lalmud
תהיי,be,tahei
למי,whom,lemi
מאיפה,from where,me'ifa
לעצמך,to yourself,le'atzmach
ממנה,from her,mimna
הלב,the heart,halev
לג,Lg,leg
מתוקה,sweetie,metuka
רוח,wind,roch
למישהו,to someone,lemishehu
חג,holiday,hag
הנשיא,the president,hanasi
ספק,supplier,spek
דוקטור,doctor,doctor
התחת,the ass,hitchat
בעיר,in the city,be'ir
המון,lots of,hamon
החולים,the patients,hacholim
מוצא,exit,mutsa
לחפש,search,lechafsh
לחלוטין,completely,lechlutin
שהיית,you were,shehayat
הלוואי,I wish,halvai
רד,come down,red
שמי,Semitic,shmi
רחוק,far,rachok
התיק,the case,hatik
ההוא,that,hahu
אנא,please,ana
מילה,circumcision,mila
חשבת,you thought,hashevet
הללו,these,halelu
אמורה,supposed to,emura
מול,opposite,mul
אליה,to her,alia
אצל,in,etzel
עשינו,we did,asinu
הפנים,the face,hapnim
שוטר,policeman,shoter
שנינו,both of us,shaninu
להחזיר,return,lehachzir
מערכת,system,merkat
מצוות,mitzvah,metzvot
להודות,admit,lehodot
שבועות,weeks,shvu'ot
מתוך,of,metuch
לתפוס,catch,latfus
לפגוע,hurt,lepgua
מיוחד,special,miyuchad
רוב,majority,rov
לבחור,choose,livchor
ז,G,z
טיפש,stupid,tipsh
אלינו,to us,alinu
במצב,in the situation,bematzav
אחזור,i will be back,achzor
תעשי,do it,taasi
שמה,devastation,shma
מכן,then,mehen
התינוק,the baby,hatinok
שנוכל,that we can,shenukal
להפוך,reverse,lehafoch
אח,brother,ach
בחורים,Guys,bechorim
יורק,York,yorek
נעלם,unknown,ne'alam
רואים,see,ro'im
טום,Tom,tom
מצוין,excellent,metzuyan
לגלות,discover,liglot
לכולם,for everyone,lechulam
לחדר,to the room,lechader
היד,the hand,hid
שמו,his name,shmu
בעצמי,myself,beazmi
יכולת,ability,yecholet
תחזור,come back,tachzor
הנכון,the right one,hanchon
מתים,dead,matim
טובות,favors,tovot
אביך,hazy,avich
אצטרך,i will have to,etztarech
להסביר,explain,lehisbir
מישהי,someone,mishay
הארץ,the country,hartz
שאמרת,you said,she'ameret
תביא,bring,tvi
איתם,with them,itam
טלפון,phone,talfon
נצטרך,we will have to,nitztarech
ייתכן,It's possible,yeyitkan
שאנו,that we,shenu
השנה,this year,hashena
ח,H,ch
הדם,the blood,hadam
לשנות,change,leshenut
חבל,rope,habel
אינני,I am not,inani
כבוד,respect,kvod
המשפט,the trial,hameshpat
המוות,death,hamooot
רבים,many,ravim
צא,get out,tza
באמצע,in the middle,be'amtza
יעשה,will do,yaase
סלח,forgive,slach
יימס,will melt,yemes
נמצאת,is found,nimtzet
לרגע,for a moment,lirga
החלק,the part,hachlak
להשאיר,leave,lehish'ir
שניות,seconds,shaniot
בנו,his son,benu
שנייה,a second,shaniya
חכם,sage,hahem
הודעה,message,hodaa
פני,penny,pni
מידי,from,midi
ליצור,create,litzur
הגיוני,logical,hagioni
תירגע,calm down,tiraga
זין,dick,zin
בעצמך,by yourself,beazmach
לברוח,escape,lebruch
בעצם,actually,ba'atzem
לבן,white,levan
האקדח,the gun,hakdach
אכן,indeed,achan
השבוע,this week,hashvua
יד,hand,yed
כולכם,all of you,kolhem
הנרי,Henry,haneri
מצפה,expecting,metzpa
הרג,killing,harg
אהבתי,i liked,ahavti
בסוף,in the end,besuf
כלב,dog,klav
